player_id,name,nationality,height_cm,weight_kg
72,阿部勇树,13,178,77
296,三浦知良,13,177,72
557,朴智星,16,175,72
729,罗比·基恩,214,175,73
793,瑞恩·吉格斯,241,180,68
811,加雷斯·巴里,204,185,78
815,大卫·贝克汉姆,204,183,76
816,保罗·斯科尔斯,204,170,70
818,安德鲁·科尔,204,175,81
822,史蒂文·杰拉德,204,183,83
840,路易斯·菲戈,228,180,75
857,何塞普·瓜迪奥拉,236,181,76
865,卡尔斯·普约尔,236,178,80
872,费尔南多·莫伦特斯,236,186,79
877,比森特·利扎拉祖,208,169,73
879,埃曼纽尔·佩蒂特,208,185,75
880,帕特里克·维埃拉,208,192,82
926,帕特里克·克鲁伊维特,224,188,80
963,保罗·马尔蒂尼,215,186,85
970,弗朗西斯科·托蒂,215,180,82
972,菲利浦·因扎吉,215,181,74
983,吉安路易吉·布冯,215,192,92
990,帕维尔·内德维德,202,177,70
1001,托马斯·罗西基,202,178,65
1006,奥利弗·卡恩,210,188,91
1352,埃姆雷·贝罗佐格鲁,190,170,66
1624,罗伯托·卡洛斯,146,168,73
1625,卡福,146,176,75
1628,里瓦尔多,146,186,75
1630,罗马里奥,146,169,72
1631,罗纳尔迪尼奥,146,182,80
1664,莱奥·布特隆,151,184,70
1674,马塞洛·萨拉斯,147,173,73
1675,伊万·萨莫拉诺,147,178,78
1697,桑塔·克鲁斯,150,193,83
1741,加布里埃尔·巴蒂斯图塔,144,185,73
1754,中田英寿,13,175,72
1881,丹尼斯·埃尔文,214,173,73
1882,德怀特·约克,133,175,78
1892,丹尼斯·博格坎普,224,188,79
1948,弗兰克·兰帕德,204,184,88
1951,谢伊·吉文,214,185,84
2089,拉斐尔·范德法特,224,176,78
2138,安德烈亚·皮尔洛,215,177,68
2232,吉奥瓦尼·埃尔伯,146,182,79
2329,索尔·坎贝尔,204,188,93
2331,洛塔尔·马特乌斯,210,173,72
2380,弗兰克·里杰卡尔德,224,190,80
2387,马尔科·范巴斯滕,224,188,80
2388,路德·古利特,224,190,85
2397,约翰·克鲁伊夫,224,180,74
2404,弗朗茨·贝肯鲍尔,210,181,77
2405,卡尔-海因茨·鲁梅尼格,210,182,79
2430,济科,146,172,69
2453,迭戈·马拉多纳,144,164,70
2489,川岛永嗣,13,185,82
2506,佩佩·雷纳,236,188,92
2520,安德烈斯·达历山德罗,144,174,68
2586,兹拉坦·伊布拉西莫维奇,237,195,95
2826,保罗·加斯科因,204,178,75
2827,布莱恩·罗布森,204,175,79
2841,丹尼斯·劳,232,175,71
2951,苏莱曼·卡马拉,83,174,75
3200,伊德里斯·卡梅尼,50,186,86
3222,马尔滕·斯特克伦博格,224,197,92
3239,贝贝托,146,173,68
3272,维利·卡瓦列罗,144,186,80
3497,迭戈·弗兰,152,180,75
3522,杰梅因·迪福,204,171,65
3650,帕维尔·波格列布尼亚克,230,188,92
3673,赫尔曼·卢克斯,144,185,77
3684,哈维尔·甘多尔菲,144,176,78
3690,马克西·洛佩斯,144,185,81
3712,卡洛斯·特维斯,144,171,77
3726,约翰尼·埃雷拉,147,184,87
3741,华金,236,179,75
3757,吉尔伯托·席尔瓦,146,185,78
3997,阿尔杰·罗本,224,180,80
4039,法比奥,146,188,92
4152,韦恩·鲁尼,204,176,83
4193,法布里西奥·科洛奇尼,144,184,82
4251,哈维·阿隆索,236,183,80
