ml_idx,name_cn,abbr,stadium,budget_raw,budget_eur,ml_seq
0,阿斯顿维拉,AST,维拉公园球场,700000,70000000,0
1,布莱顿,BRI,法尔默球场,300000,30000000,1
2,伯恩利,BUR,摩亚球场,300000,30000000,2
3,切尔西,CHE,斯坦福桥球场,300000,30000000,102
4,水晶宫,CRY,塞尔赫斯特公园球场,900000,90000000,4
5,埃弗顿,EVE,古迪逊公园球场,300000,30000000,5
6,富勒姆,FUL,克拉文农场球场,500000,50000000,6
7,利兹联,LEE,埃兰路球场,300000,30000000,7
8,莱斯特城,LEI,王权球场,100000,10000000,8
9,利物浦,LIV,,500000,50000000,9
10,曼城,MCI,曼彻斯特城市球场,900000,90000000,10
11,曼联,MUN,,900000,90000000,11
12,纽卡斯尔联,NEW,圣詹姆斯公园球场,1200000,120000000,12
13,谢菲尔德联,SHU,布拉莫巷球场,500000,50000000,13
14,南安普顿,SOU,圣玛丽球场,300000,30000000,14
15,托特纳姆热刺,TOT,托特纳姆热刺体育场,300000,30000000,15
16,西布朗维奇,WBA,山楂球场,700000,70000000,16
17,西汉姆联,WHU,伦敦体育场,100000,10000000,17
18,狼队,WOL,莫里诺球场,500000,50000000,18
19,亚特兰大,ATA,,500000,50000000,19
20,贝内文托,BEN,,100000,10000000,20
21,博洛尼亚,BOL,,50000,5000000,21
22,卡利亚里,CAG,,50000,5000000,22
23,克罗托内,CRO,,50000,5000000,23
24,佛罗伦萨,FIO,,30000,3000000,24
25,热那亚,GEN,,100000,10000000,25
26,维罗纳,VER,,100000,10000000,26
27,尤文图斯,JUV,,10000,1000000,27
28,拉齐奥,LAZ,,5000000,500000000,28
29,国际米兰,INT,,300000,30000000,29
30,AC米兰,MIL,,700000,70000000,30
31,那不勒斯,NAP,,500000,50000000,31
32,帕尔马,PAR,,500000,50000000,32
33,罗马,ROM,,50000,5000000,33
34,桑普多利亚,SAM,,300000,30000000,34
35,萨索罗,SAS,,100000,10000000,35
36,斯佩齐亚,SPE,阿尔贝托·皮科体育场,100000,10000000,36
37,都灵,TOR,,10000,1000000,37
38,乌迪内斯,UDI,,100000,10000000,38
39,阿拉维斯,ALA,门迪佐罗萨球场,100000,10000000,39
40,毕尔巴鄂竞技,ATH,圣马梅斯体育场,50000,5000000,40
41,加的斯,CAD,拉蒙·卡兰扎球场,300000,30000000,41
42,埃瓦尔,EIB,伊普鲁亚市政球场,10000,1000000,3
43,埃尔切,ELC,马丁内斯·瓦莱罗体育场,50000,5000000,43
44,巴塞罗那,BAR,,30000,3000000,44
45,赫塔菲,GET,科尔内拉·阿方索·佩雷斯球场,5000000,500000000,45
46,格拉纳达,GRA,洛斯卡曼斯球场,100000,10000000,46
47,韦斯卡,HUE,阿尔科拉兹球场,50000,5000000,47
48,莱万特,LEV,瓦伦西亚城市球场,30000,3000000,368
49,皇家马德里,RMA,,100000,10000000,49
50,马德里竞技,ATM,,1200000,120000000,50
51,奥萨苏纳,OSA,萨德尔球场,5000000,500000000,51
52,塞维利亚,SEV,拉蒙·桑切斯·皮兹胡安体育场,30000,3000000,52
53,贝蒂斯,BET,贝尼托·维拉马林球场,300000,30000000,53
54,巴伦西亚,VAL,梅斯塔利亚球场,300000,30000000,54
55,巴拉多利德,VLL,何塞·佐里拉球场,500000,50000000,55
56,皇家社会,RSO,皇家竞技场,30000,3000000,56
57,维戈塞尔塔,CEL,阿班卡·巴莱多斯球场,100000,10000000,57
58,比利亚雷亚尔,VIL,陶瓷球场,100000,10000000,58
59,昂热,SCO,,300000,30000000,59
60,波尔多,GDB,,50000,5000000,60
61,布雷斯特,SB,,100000,10000000,61
62,第戎,DIJ,,10000,1000000,62
63,里尔,LIL,,30000,3000000,63
64,洛里昂,FCL,,300000,30000000,64
65,梅斯,FCM,,50000,5000000,65
66,摩纳哥,ASM,,50000,5000000,66
67,蒙彼利埃,MON,,300000,30000000,67
68,南特,FCN,,50000,5000000,68
69,尼斯,OGC,,100000,10000000,69
70,尼姆,NIM,,300000,30000000,70
71,里昂,OL,,30000,3000000,71
72,马赛,OM,,300000,30000000,72
73,巴黎圣日耳曼,PSG,,300000,30000000,73
74,朗斯,RCL,,5000000,500000000,74
75,雷恩,REN,,50000,5000000,75
76,圣埃蒂安,STE,,100000,10000000,76
77,兰斯,SDR,,100000,10000000,77
78,斯特拉斯堡,RCS,,50000,5000000,78
79,海牙,ADO,,50000,5000000,79
80,阿贾克斯,AJA,,10000,1000000,80
81,阿尔克马尔,AZ,,100000,10000000,81
82,埃门,EMM,,30000,3000000,82
83,费耶诺德,FEY,,10000,1000000,83
84,锡塔德,FOR,,50000,5000000,84
85,格罗宁根,GRO,,10000,1000000,85
86,海伦芬,HEE,,30000,3000000,86
87,阿尔梅罗大力神,HER,,30000,3000000,87
88,兹沃勒,ZWO,,10000,1000000,88
89,埃因霍温,PSV,,10000,1000000,89
90,瓦尔维克,RKC,,100000,10000000,90
91,鹿特丹斯巴达,SPA,,10000,1000000,91
92,特温特,TWE,,10000,1000000,92
93,乌德勒支,UTR,,50000,5000000,93
94,维特斯,VIT,,30000,3000000,94
95,芬洛,VVV,,30000,3000000,95
96,威廉二世,WIL,,10000,1000000,96
97,贝伦人,BEL,,10000,1000000,97
98,本菲卡,SLB,,10000,1000000,98
99,博阿维斯塔,BOA,,300000,30000000,99
100,法马利康,FAM,,10000,1000000,100
101,法鲁人,FAR,,10000,1000000,101
102,吉维森特,GIL,,10000,1000000,42
103,马德拉国民,NAC,,10000,1000000,103
104,马里迪莫,MAR,,10000,1000000,104
105,莫拉伦塞,MOR,,10000,1000000,105
106,费雷拉,PFE,,10000,1000000,106
107,波尔蒂芒人,PTM,,10000,1000000,107
108,波尔图,POR,,10000,1000000,108
109,里奥阿维,RAV,,300000,30000000,109
110,圣克拉拉,STA,,10000,1000000,110
111,布拉加,BRA,,10000,1000000,111
112,葡萄牙体育,SCP,,10000,1000000,112
113,通德拉,TON,,100000,10000000,113
114,吉马良斯,GUI,,10000,1000000,114
115,米内罗美洲,AME,,10000,1000000,115
116,巴拉纳竞技,CAP,,10000,1000000,116
117,戈亚尼恩斯,ACG,,50000,5000000,117
118,米内罗竞技,CAM,,10000,1000000,118
119,巴伊亚,BAH,,50000,5000000,119
120,塞阿拉竞技,CEA,,30000,3000000,120
121,沙佩科人,CHA,,10000,1000000,121
122,科林蒂安,COR,,10000,1000000,122
123,库亚巴,CUI,,50000,5000000,123
124,弗拉门戈,FLA,,10000,1000000,124
125,弗卢米嫩塞,FLU,,100000,10000000,125
126,福塔雷萨,FOR,,30000,3000000,126
127,格雷米奥,GRE,,10000,1000000,127
128,国际,INT,,50000,5000000,128
129,尤文图德,JUV,,30000,3000000,129
130,帕尔梅拉斯,PAL,,10000,1000000,48
131,布拉甘蒂诺红牛,RBB,,100000,10000000,131
132,桑托斯,SAN,,100000,10000000,132
133,圣保罗,SAO,,50000,5000000,133
134,累西腓体育,SPO,,50000,5000000,134
135,阿尔多西维,ALD,,10000,1000000,135
136,阿根廷青年人,ARG,,10000,1000000,136
137,兵工厂,ARS,,10000,1000000,137
138,图库曼竞技,ATU,,10000,1000000,138
139,班菲尔德,BAN,,30000,3000000,139
140,博卡青年,BOC,,30000,3000000,140
141,科尔多瓦中央,COR,,100000,10000000,141
142,科隆竞技,COL,,10000,1000000,142
143,国防司法体育,DYJ,,30000,3000000,143
144,拉普拉塔大学生,EST,,30000,3000000,144
145,拉普拉塔体操,GIM,,30000,3000000,145
146,戈多伊克鲁斯,GOD,,30000,3000000,146
147,飓风竞技,HUR,,30000,3000000,147
148,独立,IND,,50000,5000000,148
149,拉努斯,LAN,,50000,5000000,149
150,纽维尔老伙计,NOB,,50000,5000000,150
151,帕特罗纳托,PAT,,30000,3000000,151
152,普拉坦斯,CAP,,10000,1000000,152
153,竞技,RAC,,10000,1000000,153
154,河床,RIV,,50000,5000000,154
155,罗萨里奥中央,RC,,100000,10000000,155
156,圣罗伦索,SLO,,30000,3000000,156
157,萨尔米安杜,SAR,,50000,5000000,157
158,塔勒瑞斯竞技,TAL,,10000,1000000,158
159,圣塔菲联,CAU,,50000,5000000,159
160,萨斯菲尔德,VEL,,30000,3000000,160
161,拜仁慕尼黑,FCB,,50000,5000000,161
162,比勒费尔德,DSC,舒乔竞技场,900000,90000000,162
163,柏林联合,FCU,老林务所畔球场,0,0,163
164,门兴格拉德巴赫,BMG,普鲁士公园球场,0,0,164
165,法兰克福,SGE,法兰克福商业银行球场,0,0,165
166,沙尔克04,S04,,0,0,166
167,奥格斯堡,FCA,WWK保险竞技球场,300000,30000000,167
168,科隆,KOE,莱茵能源体育场,0,0,168
169,柏林赫塔,BSC,柏林奥林匹克体育场,0,0,169
170,霍芬海姆,TSG,普里赛罗竞技场,0,0,170
171,美因茨,FSV,欧宝竞技场,0,0,171
172,RB莱比锡,RBL,红牛竞技场,0,0,172
173,弗赖堡,FRE,黑森林体育场,0,0,173
174,斯图加特,VFB,梅赛德斯-奔驰竞技场,0,0,174
175,勒沃库森,LEV,拜耳球场,0,0,175
176,多特蒙德,BVB,,300000,30000000,176
177,云达不来梅,SVW,威悉球场,0,0,177
178,沃尔夫斯堡,WOB,大众竞技场,0,0,178
179,亚特兰大联,ATL,,0,0,179
180,芝加哥火焰,CHI,,0,0,180
181,科罗拉多急流,COL,,0,0,181
182,哥伦布机员,CLB,,0,0,182
183,华盛顿特区联,DCU,,0,0,183
184,明尼苏达联,MIN,,0,0,184
185,达拉斯FC,DAL,,0,0,185
186,休斯顿迪纳摩,HOU,,0,0,186
187,洛杉矶FC,LFC,,0,0,187
188,洛杉矶银河,LAG,,0,0,188
189,西雅图海湾人,SEA,,0,0,189
190,蒙特利尔冲击,MON,,0,0,190
191,新英格兰革命,NER,,0,0,191
192,纽约城,NYC,,0,0,192
193,纽约红牛,NYR,,0,0,193
194,多伦多FC,TOR,,0,0,194
195,费城联合,PHI,,0,0,195
196,波特兰伐木者,POR,,0,0,196
197,皇家盐湖城,RSL,,0,0,197
198,圣何塞地震,SJE,,0,0,198
199,大阪樱花,COS,,0,0,199
200,札幌冈萨多,SPP,,0,0,200
201,大阪钢巴,GAO,,0,0,201
202,鹿岛鹿角,KAA,,0,0,202
203,柏太阳神,KAS,,0,0,203
204,川崎前锋,KAF,,0,0,204
205,名古屋鲸,NGY,,0,0,205
206,大分三神,OIT,,0,0,206
207,鸟栖砂岩,TSU,,0,0,207
208,广岛三箭,SAH,,0,0,208
209,清水心跳,SMZ,,0,0,209
210,湘南比马,SHN,,0,0,210
211,浦和红钻,URD,,0,0,211
212,仙台七夕,SEN,,0,0,212
213,横滨FC,YFC,,0,0,213
214,横滨水手,YFM,,0,0,214
215,FC东京,TOK,,10000,1000000,215
216,神户胜利船,KBE,,10000,1000000,216
217,奥达克斯意大利人,AUD,,50000,5000000,217
218,科布雷萨尔,CSL,,10000,1000000,218
219,科洛科洛,CC,,10000,1000000,219
220,库里科,CUR,,30000,3000000,220
221,安托法加斯塔,ANT,,10000,1000000,221
222,拉塞雷纳,LAS,,10000,1000000,222
223,梅里比亚体育,MEP,,10000,1000000,223
224,维尼亚德尔马埃弗顿,EVE,,10000,1000000,224
225,瓦奇巴托,HUA,,10000,1000000,225
226,纽伯伦斯,NUB,,30000,3000000,226
227,奥希金斯,OHI,,10000,1000000,227
228,巴勒斯坦人,PAL,,10000,1000000,228
229,圣地亚哥流浪者,SW,,10000,1000000,229
230,西班牙联盟,UE,,10000,1000000,230
231,拉卡莱拉联,ULC,,10000,1000000,231
232,天主教大学,UC,,10000,1000000,232
233,智利大学,UCH,,30000,3000000,233
234,巴恩斯利,BAR,奥基威尔球场,30000,3000000,234
235,伯明翰城,BIR,圣安德鲁斯球场,30000,3000000,235
236,布莱克本,BLA,埃伍德公园球场,50000,5000000,236
237,伯恩茅斯,BOU,活力球场,30000,3000000,237
238,布伦特福德,BRE,布伦特福德社区体育场,300000,30000000,238
239,布里斯托城,BRI,阿什顿门球场,30000,3000000,239
240,卡迪夫城,CAR,卡迪夫城球场,50000,5000000,240
241,考文垂,COV,圣安德鲁斯球场,100000,10000000,241
242,德比郡,DER,普莱德公园球场,10000,1000000,242
243,哈德斯菲尔德,HUD,柯尔克利斯球场,50000,5000000,243
244,卢顿,LUT,克尼尔沃思路球场,100000,10000000,244
245,米德尔斯堡,MID,河畔球场,10000,1000000,245
246,米尔沃尔,MIL,尼尔球场,100000,10000000,246
247,诺维奇,NOR,卡诺路球场,10000,1000000,247
248,诺丁汉森林,NOT,城市球场,100000,10000000,248
249,普雷斯顿,PRE,迪普戴尔球场,100000,10000000,249
250,女王公园巡游者,QPR,基扬王子基金会体育场,10000,1000000,250
251,雷丁,REA,马德伊斯基球场,10000,1000000,251
252,罗瑟汉姆,ROT,埃塞尔纽约体育场,50000,5000000,252
253,谢周三,SHW,希尔斯伯勒球场,10000,1000000,253
254,斯托克城,STO,bet365球场,100000,10000000,254
255,斯旺西城,SWA,自由球场,100000,10000000,255
256,沃特福德,WAT,维卡里吉路球场,50000,5000000,256
257,韦康比流浪者,WYC,亚当斯公园球场,300000,30000000,257
258,阿尔巴塞特,ALB,卡洛斯·贝尔蒙特球场,10000,1000000,258
259,阿尔科孔,ALC,圣多明各球场,30000,3000000,259
260,阿尔梅里亚,ALM,梅迪特兰迪奥球场,10000,1000000,260
261,卡塔赫纳,CAR,卡塔戈诺瓦球场,100000,10000000,261
262,卡斯特利翁,CAS,卡斯塔利亚球场,10000,1000000,262
263,富恩拉夫拉达,FUE,费尔南多·托雷斯球场,10000,1000000,263
264,希洪竞技,SPO,莫利农·奎尼球场,10000,1000000,264
265,赫罗纳,GIR,蒙蒂利维球场,50000,5000000,265
266,拉斯帕尔马斯,LPA,加纳利亚体育场,50000,5000000,266
267,莱加内斯,LEG,布塔克市政球场,30000,3000000,267
268,西班牙人,ESP,埃尔普拉特球场,50000,5000000,268
269,洛格罗涅斯,LOG,拉斯高纳斯球场,300000,30000000,269
270,卢戈竞技,LUG,安克索·卡罗球场,10000,1000000,270
271,马拉加,MAL,罗萨利达球场,10000,1000000,271
272,马洛卡,MLL,桑莫依克斯球场,50000,5000000,272
273,米兰德斯竞技,MIR,安杜瓦市政球场,50000,5000000,273
274,皇家奥维耶多,OVI,卡洛斯·塔蒂埃球场,10000,1000000,274
275,庞费拉迪纳,PON,托拉林球场,10000,1000000,275
276,萨瓦德尔,SAB,克雷阿尔塔球场,10000,1000000,276
277,特内里费,TEN,赫利奥多罗?罗德里格斯?洛佩斯球场,10000,1000000,277
278,巴列卡诺,RAY,巴列卡斯球场,10000,1000000,278
279,萨拉戈萨,ZAR,罗萨利达球场,50000,5000000,279
280,阿雅克肖,ACA,,30000,3000000,280
281,亚眠,ASC,,10000,1000000,281
282,欧塞尔,AJA,,50000,5000000,282
283,卡昂,SMC,,50000,5000000,283
284,尚布利,CHB,,50000,5000000,284
285,沙托鲁,LBC,,10000,1000000,285
286,克莱蒙,CLE,,10000,1000000,286
287,敦刻尔克,DKQ,,10000,1000000,287
288,格勒诺布尔,GRB,,10000,1000000,288
289,甘冈,EAG,,30000,3000000,289
290,勒阿弗尔,HAC,,30000,3000000,290
291,南锡,ASN,,30000,3000000,291
292,尼奥尔岩羚羊,NIO,,30000,3000000,292
293,巴黎FC,PFC,,10000,1000000,293
294,波城,PAU,,10000,1000000,294
295,罗德兹,ROD,,10000,1000000,295
296,索肖,SOC,,10000,1000000,296
297,图卢兹,TFC,,50000,5000000,297
298,特鲁瓦,TRO,,50000,5000000,298
299,瓦朗谢讷,VA,,30000,3000000,299
300,阿斯科利,ASC,,30000,3000000,300
301,布雷西亚,BRE,,10000,1000000,301
302,切沃,CHI,,30000,3000000,302
303,奇塔代拉,CIT,,50000,5000000,303
304,科森扎,COS,,10000,1000000,304
305,克雷莫纳,CRE,,10000,1000000,305
306,恩波利,EMP,,30000,3000000,306
307,弗罗西诺内,FRO,,50000,5000000,307
308,莱切,LEC,,30000,3000000,308
309,维琴察,VIC,,10000,1000000,309
310,蒙扎,MOB,,10000,1000000,310
311,佩斯卡拉,PES,,10000,1000000,311
312,比萨,PIS,,30000,3000000,312
313,波代诺内,POR,,50000,5000000,313
314,雷吉亚纳,RGA,,10000,1000000,314
315,雷吉纳,REG,,0,0,315
316,萨勒尼塔纳,SAL,,10000,1000000,316
317,斯帕尔,SPA,,30000,3000000,317
318,威尼斯,VNZ,,30000,3000000,318
319,恩特拉,ENT,,10000,1000000,681
320,安德莱赫特,AND,,10000,1000000,320
321,安特卫普,ANT,,50000,5000000,321
322,比尔肖特,BEE,,30000,3000000,322
323,色格拉布鲁日,CER,,10000,1000000,323
324,布鲁日,BRU,,30000,3000000,324
325,亨克,GNK,,100000,10000000,325
326,根特,GNT,,50000,5000000,326
327,奥伊彭,EUP,,50000,5000000,327
328,科特赖克,KVK,,10000,1000000,328
329,奥斯坦德,KVO,,10000,1000000,329
330,梅赫伦,KVM,,10000,1000000,330
331,奥哈瓦里,OHL,,10000,1000000,331
332,穆斯克龙精英,REM,,10000,1000000,332
333,圣图尔登,STV,,10000,1000000,333
334,沙勒罗瓦,CHA,,10000,1000000,334
335,标准列日,STA,,10000,1000000,335
336,华斯兰德贝弗伦,WBE,,50000,5000000,336
337,瓦勒海姆,ZUL,,10000,1000000,337
338,格罗兹尼艾哈迈德,AKH,,10000,1000000,338
339,图拉兵工厂,ARS,,30000,3000000,339
340,莫斯科中央陆军,CSK,,10000,1000000,340
341,莫斯科迪纳摩,DMO,,100000,10000000,341
342,希姆基,KHI,,10000,1000000,342
343,克拉斯诺达尔,KRA,,10000,1000000,343
344,莫斯科火车头,LMO,,100000,10000000,344
345,罗斯托夫,FCR,,100000,10000000,345
346,伏尔加格勒转子,RVG,,50000,5000000,346
347,喀山红宝石,RKA,,10000,1000000,347
348,索契,SOC,,50000,5000000,348
349,莫斯科斯巴达,SPM,,30000,3000000,349
350,坦波夫,TAM,,300000,30000000,350
351,乌法,UFA,,10000,1000000,351
352,乌拉尔,FCU,,10000,1000000,352
353,圣彼得堡泽尼特,ZSP,,10000,1000000,353
354,巴塞尔,BAS,,300000,30000000,354
355,洛桑体育,LAU,,50000,5000000,355
356,卢加诺,LUG,,10000,1000000,356
357,卢塞恩,LUZ,,10000,1000000,357
358,塞尔维特,SER,,10000,1000000,358
359,锡永,SIO,,10000,1000000,359
360,圣加伦,SG,,30000,3000000,360
361,瓦杜兹,VAD,,10000,1000000,361
362,伯尔尼年轻人,YB,,10000,1000000,362
363,苏黎世,FCZ,,50000,5000000,363
364,阿拉尼亚体育,ALA,,30000,3000000,364
365,安卡拉力量,ANK,,10000,1000000,365
366,安塔利亚体育,ANT,,10000,1000000,366
367,埃尔祖鲁姆体育,ERZ,,30000,3000000,367
368,贝西克塔斯,BJK,,10000,1000000,130
369,代尼兹利体育,DNZ,,50000,5000000,369
370,法蒂赫卡拉古鲁克,FKS,,10000,1000000,370
371,费内巴切,FB,,10000,1000000,371
372,加拉塔萨雷,GS,,50000,5000000,372
373,加济安泰普,GZT,,50000,5000000,373
374,青年联盟,GEN,,10000,1000000,374
375,哥兹塔比,GOZ,,30000,3000000,375
376,哈塔伊体育,HTY,,10000,1000000,376
377,伊斯坦布尔,BFK,,10000,1000000,377
378,卡斯帕萨,KAS,,50000,5000000,378
379,开塞利体育,KAY,,10000,1000000,379
380,科尼亚体育,KON,,10000,1000000,380
381,里泽运动,RIZ,,10000,1000000,381
382,锡瓦斯体育,SIV,,10000,1000000,382
383,特拉布宗体育,TS,,30000,3000000,383
384,新马拉蒂亚体育,YMA,,30000,3000000,384
385,阿利安萨,ALI,,10000,1000000,385
386,卡利美洲,AME,,10000,1000000,386
387,布卡拉曼格,BUC,,10000,1000000,387
388,国民竞技,NAC,,10000,1000000,388
389,博亚卡奇科,CHI,,10000,1000000,389
390,库库塔体育,CUC,,10000,1000000,390
391,托利马,TOL,,10000,1000000,391
392,卡利体育,CAL,,10000,1000000,392
393,帕斯托竞技,PAS,,10000,1000000,393
394,佩雷拉体育,DPR,,10000,1000000,394
395,恩维加多,ENV,,10000,1000000,395
396,麦德林独立,MED,,10000,1000000,396
397,加奎斯德科尔多瓦,JAG,,10000,1000000,397
398,巴兰基利亚青年,JUN,,10000,1000000,398
399,波哥大公平,EQU,,10000,1000000,399
400,百万富翁,MIL,,10000,1000000,400
401,卡尔达斯,ONC,,10000,1000000,401
402,博亚卡爱国者,PAT,,10000,1000000,402
403,里奥内格罗老鹰,RIO,,10000,1000000,403
404,圣达菲,SFE,,10000,1000000,404
405,北京中赫国安,BJG,,10000,1000000,405
406,重庆当代,CQD,,500000,50000000,406
407,大连人,DLP,,100000,10000000,407
408,广州恒大淘宝,GZE,,300000,30000000,408
409,广州富力,GRF,,500000,50000000,409
410,河北华夏幸福,HBC,,50000,5000000,410
411,河南建业,HNJ,,300000,30000000,411
412,江苏苏宁易购,JSS,,100000,10000000,412
413,青岛黄海青港,QDH,,500000,50000000,413
414,山东鲁能泰山,SDL,,10000,1000000,414
415,上海绿地申花,SHS,,300000,30000000,415
416,上海上港,SHP,,300000,30000000,416
417,深圳佳兆业,SZK,,700000,70000000,417
418,石家庄永昌,SJZ,,100000,10000000,418
419,天津泰达,TJT,,50000,5000000,419
420,武汉卓尔,WHZ,,100000,10000000,420
421,阿伯丁,ABE,,50000,5000000,421
422,凯尔特人,CEL,,10000,1000000,422
423,邓迪联,DUD,,100000,10000000,423
424,哈密尔顿,HAM,,10000,1000000,424
425,希伯尼安,HIB,,10000,1000000,425
426,基尔马诺克,KIL,,10000,1000000,426
427,利文斯顿,LIV,,10000,1000000,427
428,马瑟威尔,MOT,,10000,1000000,428
429,格拉斯哥流浪者,RAN,,10000,1000000,429
430,罗斯郡,ROS,,50000,5000000,430
431,圣约翰斯通,STJ,,10000,1000000,431
432,圣米伦,STM,,10000,1000000,432
433,奥尔堡,AAB,,10000,1000000,433
434,奥胡斯体操协会,AGF,,10000,1000000,434
435,布隆德比,BIF,,10000,1000000,435
436,霍尔森斯,ACH,,30000,3000000,436
437,哥本哈根,FCK,,10000,1000000,437
438,灵比,LYN,,50000,5000000,438
439,中日德兰,FCM,,10000,1000000,439
440,北西兰,FCN,,30000,3000000,440
441,欧登塞,OB,,10000,1000000,441
442,兰讷斯,RFC,,10000,1000000,442
443,桑德捷斯基,SJE,,10000,1000000,443
444,瓦埃勒,VBK,,10000,1000000,444
445,BG巴吞联,BGP,,10000,1000000,445
446,武里南联,BRU,,10000,1000000,446
447,清莱联,SCU,,10000,1000000,447
448,春武里,CHO,,10000,1000000,448
449,呵叻,NRM,,10000,1000000,449
450,警察特罗,PCT,,10000,1000000,450
451,泰国港口,POR,,10000,1000000,451
452,巴蜀基利,PTP,,10000,1000000,452
453,拉查武里,RMP,,10000,1000000,453
454,罗勇FC,RYN,,10000,1000000,454
455,北榄城,SPC,,10000,1000000,455
456,蒙通联,MTU,,10000,1000000,456
457,素可泰,SUK,,10000,1000000,457
458,素攀武里,SUP,,10000,1000000,458
459,达叻,TRA,,10000,1000000,459
460,曼谷联,TBU,,10000,1000000,460
461,阿瓦伊,AVA,,10000,1000000,461
462,博塔弗戈,BOT,,10000,1000000,462
463,巴西佩洛塔斯,BRA,,10000,1000000,463
464,布鲁斯克,BRQ,,10000,1000000,464
465,康费安萨,CON,,10000,1000000,465
466,科里蒂巴,CFC,,10000,1000000,466
467,雷加塔斯,CRB,,10000,1000000,467
468,克鲁塞罗,CRU,,10000,1000000,468
469,阿拉戈亚诺体育,CSA,,50000,5000000,469
470,戈亚斯,GOI,,10000,1000000,470
471,瓜拉尼,GUA,,10000,1000000,471
472,隆德里纳,LON,,10000,1000000,472
473,累西腓航海,NAU,,10000,1000000,473
474,奥佩拉里奥,OPE,,10000,1000000,474
475,庞特普雷塔,PON,,10000,1000000,475
476,雷默,CLR,,10000,1000000,476
477,桑帕约科雷亚,SAM,,10000,1000000,477
478,瓦斯科达伽马,VAS,,10000,1000000,478
479,维拉诺瓦,VIL,,10000,1000000,479
480,维多利亚,VIT,,10000,1000000,480
481,雅典AEK,AEK,,10000,1000000,481
482,索菲亚中央陆军,CSK,,10000,1000000,482
483,费伦茨瓦罗斯,FER,法国安盟球场,10000,1000000,483
484,克卢日,CLU,,0,0,484
485,萨格勒布迪纳摩,DZG,,50000,5000000,485
486,基辅迪纳摩,DYN,,30000,3000000,486
487,波希米亚人,BFC,,100000,10000000,487
488,萨拉热窝,SAR,阿西姆·费哈托维奇球场,10000,1000000,488
489,萨尔茨堡,RBS,,10000,1000000,489
490,维也纳迅速,SCR,,0,0,490
491,索尔亚,ZOR,,10000,1000000,491
492,哈伊杜克,HAJ,波尔朱德体育场,30000,3000000,492
493,卢多格雷茨,LUD,,50000,5000000,493
494,贝尔格莱德红星,CZD,,10000,1000000,494
495,格拉茨,STU,水星竞技场,10000,1000000,495
496,奥林匹亚科斯,OLY,,10000,1000000,496
497,波兹南莱希,LCH,,50000,5000000,497
498,帕纳辛奈科斯,PAN,,10000,1000000,498
499,塞萨洛尼基,PAO,,10000,1000000,499
500,沃尔夫斯伯格,WAC,,30000,3000000,500
501,布加勒斯特星,FCS,,30000,3000000,501
502,马里博尔,MAR,人民花园球场,10000,1000000,502
503,莫尔德,MFK,,10000,1000000,503
504,贝尔格莱德游击队,PAR,游击队员体育场,0,0,504
505,顿涅茨克矿工,SHK,,10000,1000000,505
506,卡拉巴赫,QAR,,300000,30000000,506
507,布拉格斯拉维亚,SLA,,10000,1000000,507
508,布拉格斯巴达,SPA,,30000,3000000,508
509,里耶卡,RIJ,鲁杰维卡体育场,30000,3000000,509
510,林茨,LSK,,10000,1000000,510
511,登克尔克,DUN,,10000,1000000,511
512,贝尔谢巴工人,HBS,,10000,1000000,512
513,奥莫尼亚,OMN,,10000,1000000,513
514,特拉维夫马卡比,MTA,,0,0,514
515,利马联盟,ALI,,0,0,515
516,巴塞罗那SC,BSC,,10000,1000000,516
517,玻利瓦尔,BOL,,0,0,517
518,博塔弗戈SP,BSP,,0,0,518
