seq,year,month,day,round
0,2021,8,22,16
1,2021,8,22,16
2,2021,8,22,14
3,2021,8,22,15
4,2021,8,22,16
5,2021,8,22,14
6,2021,8,22,16
7,2021,8,22,16
8,2021,8,22,13
9,2021,8,22,13
10,2021,8,29,15
11,2021,8,29,16
12,2021,8,29,14
13,2021,8,29,13
14,2021,8,29,15
15,2021,8,29,13
16,2021,8,29,12
17,2021,8,29,20
18,2021,8,29,12
19,2021,8,29,13
20,2021,9,19,16
21,2021,9,19,15
22,2021,9,19,14
23,2021,9,19,15
24,2021,9,19,16
25,2021,9,19,13
26,2021,9,19,14
27,2021,9,19,13
28,2021,9,19,12
29,2021,9,19,13
30,2021,9,23,20
31,2021,9,23,14
32,2021,9,23,14
33,2021,9,23,15
34,2021,9,23,14
35,2021,9,23,15
36,2021,9,23,14
37,2021,9,23,12
38,2021,9,23,12
39,2021,9,23,12
40,2021,9,26,16
41,2021,9,26,14
42,2021,9,26,15
43,2021,9,26,15
44,2021,9,26,12
45,2021,9,26,15
46,2021,9,26,15
47,2021,9,26,15
48,2021,9,26,15
49,2021,9,26,14
50,2021,10,3,16
51,2021,10,3,12
52,2021,10,3,16
53,2021,10,3,13
54,2021,10,3,12
55,2021,10,3,16
56,2021,10,3,14
57,2021,10,3,15
58,2021,10,3,15
59,2021,10,3,15
60,2021,10,24,13
61,2021,10,24,16
62,2021,10,24,12
63,2021,10,24,12
64,2021,10,24,12
65,2021,10,24,16
66,2021,10,24,12
67,2021,10,24,15
68,2021,10,24,13
69,2021,10,24,15
70,2021,10,28,14
71,2021,10,28,15
72,2021,10,28,12
73,2021,10,28,13
74,2021,10,28,16
75,2021,10,28,13
76,2021,10,28,12
77,2021,10,28,19
78,2021,10,28,12
79,2021,10,28,15
80,2021,10,31,14
81,2021,10,31,20
82,2021,10,31,15
83,2021,10,31,14
84,2021,10,31,14
85,2021,10,31,20
86,2021,10,31,14
87,2021,10,31,12
88,2021,10,31,12
89,2021,10,31,12
90,2021,11,7,19
91,2021,11,7,13
92,2021,11,7,13
93,2021,11,7,13
94,2021,11,7,13
95,2021,11,7,12
96,2021,11,7,15
97,2021,11,7,14
98,2021,11,7,19
99,2021,11,7,12
100,2021,11,18,14
101,2021,11,18,16
102,2021,11,18,14
103,2021,11,18,14
104,2021,11,18,14
105,2021,11,18,16
106,2021,11,18,19
107,2021,11,18,20
108,2021,11,18,12
109,2021,11,18,13
110,2021,11,21,14
111,2021,11,21,12
112,2021,11,21,14
113,2021,11,21,16
114,2021,11,21,16
