ml_idx,name_cn,abbr,stadium,budget_raw,budget_eur,ml_seq
0,阿森纳,ARS,,700000,70000000,0
1,阿斯顿维拉,AST,维拉公园球场,300000,30000000,1
2,布莱顿,BRI,法尔默球场,300000,30000000,2
3,伯恩利,BUR,摩亚球场,300000,30000000,102
4,切尔西,CHE,斯坦福桥球场,900000,90000000,4
5,水晶宫,CRY,塞尔赫斯特公园球场,300000,30000000,5
6,埃弗顿,EVE,古迪逊公园球场,500000,50000000,6
7,富勒姆,FUL,克拉文农场球场,300000,30000000,7
8,利兹联,LEE,埃兰路球场,100000,10000000,8
9,莱斯特城,LEI,王权球场,500000,50000000,9
10,利物浦,LIV,,900000,90000000,10
11,曼城,MCI,曼彻斯特城市球场,900000,90000000,11
12,曼联,MUN,,1200000,120000000,12
13,纽卡斯尔联,NEW,圣詹姆斯公园球场,500000,50000000,13
14,谢菲尔德联,SHU,布拉莫巷球场,300000,30000000,14
15,南安普顿,SOU,圣玛丽球场,300000,30000000,15
16,托特纳姆热刺,TOT,托特纳姆热刺体育场,700000,70000000,16
17,西布朗维奇,WBA,山楂球场,100000,10000000,17
18,西汉姆联,WHU,伦敦体育场,500000,50000000,18
19,狼队,WOL,莫里诺球场,500000,50000000,19
20,亚特兰大,ATA,,100000,10000000,20
21,贝内文托,BEN,,50000,5000000,21
22,博洛尼亚,BOL,,50000,5000000,22
23,卡利亚里,CAG,,50000,5000000,23
24,克罗托内,CRO,,30000,3000000,24
25,佛罗伦萨,FIO,,100000,10000000,25
26,热那亚,GEN,,100000,10000000,26
27,维罗纳,VER,,10000,1000000,27
28,尤文图斯,JUV,,5000000,500000000,28
29,拉齐奥,LAZ,,300000,30000000,29
30,国际米兰,INT,,700000,70000000,30
31,AC米兰,MIL,,500000,50000000,31
32,那不勒斯,NAP,,500000,50000000,32
33,帕尔马,PAR,,50000,5000000,33
34,罗马,ROM,,300000,30000000,34
35,桑普多利亚,SAM,,100000,10000000,35
36,萨索罗,SAS,,100000,10000000,36
37,斯佩齐亚,SPE,阿尔贝托·皮科体育场,10000,1000000,37
38,都灵,TOR,,100000,10000000,38
39,乌迪内斯,UDI,,100000,10000000,39
40,阿拉维斯,ALA,门迪佐罗萨球场,50000,5000000,40
41,毕尔巴鄂竞技,ATH,圣马梅斯体育场,300000,30000000,41
42,加的斯,CAD,拉蒙·卡兰扎球场,10000,1000000,3
43,埃瓦尔,EIB,伊普鲁亚市政球场,50000,5000000,43
44,埃尔切,ELC,马丁内斯·瓦莱罗体育场,30000,3000000,44
45,巴塞罗那,BAR,,5000000,500000000,45
46,赫塔菲,GET,科尔内拉·阿方索·佩雷斯球场,100000,10000000,46
47,格拉纳达,GRA,洛斯卡曼斯球场,50000,5000000,47
48,韦斯卡,HUE,阿尔科拉兹球场,30000,3000000,368
49,莱万特,LEV,瓦伦西亚城市球场,100000,10000000,49
50,皇家马德里,RMA,,1200000,120000000,50
51,马德里竞技,ATM,,5000000,500000000,51
52,奥萨苏纳,OSA,萨德尔球场,30000,3000000,52
53,塞维利亚,SEV,拉蒙·桑切斯·皮兹胡安体育场,300000,30000000,53
54,贝蒂斯,BET,贝尼托·维拉马林球场,300000,30000000,54
55,巴伦西亚,VAL,梅斯塔利亚球场,500000,50000000,55
56,巴拉多利德,VLL,何塞·佐里拉球场,30000,3000000,56
57,皇家社会,RSO,皇家竞技场,100000,10000000,57
58,维戈塞尔塔,CEL,阿班卡·巴莱多斯球场,100000,10000000,58
